id;revenueusd;country;day;dateRegistered;subscriptionStatus
0b689aca-2523-5a3d-8819-402a69be2aaa;69,97;us;4;7/27/2019;notSubscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;84,96;us;5;7/27/2019;notSubscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;99,95;us;7;7/27/2019;notSubscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;129,94;us;10;7/27/2019;notSubscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;149,93;us;20;7/27/2019;notSubscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;179,92;us;24;7/27/2019;notSubscribed
0f2c93c8-e4aa-5479-bc79-fcb8ef67e126;1,010049691;au;0;8/16/2019;notSubscribed
111f3902-3ddc-52ef-9290-6a5b35db5115;9,99;us;0;08/06/2019;notSubscribed
1931f614-ac2c-5c20-83d5-da1716bed412;10,52134822;th;0;7/28/2019;subscribed
1b6cd6af-11f6-515f-867d-00f58642b76d;4,99;us;0;08/03/2019;notSubscribed
1f6f382f-6780-5ee9-9a75-7db5fabdf70b;4,99;us;0;7/27/2019;notSubscribed
1f6f382f-6780-5ee9-9a75-7db5fabdf70b;19,98;us;1;7/27/2019;notSubscribed
1f6f382f-6780-5ee9-9a75-7db5fabdf70b;34,97;us;5;7/27/2019;notSubscribed
229c3ff3-4410-5808-b83c-f94429005ad8;4,99;us;0;08/03/2019;notSubscribed
336c3458-a6be-57e6-a110-962961bb2465;5,98;us;0;7/29/2019;notSubscribed
336c3458-a6be-57e6-a110-962961bb2465;15,97;us;2;7/29/2019;notSubscribed
336c3458-a6be-57e6-a110-962961bb2465;18,96;us;4;7/29/2019;notSubscribed
336c3458-a6be-57e6-a110-962961bb2465;23,95;us;5;7/29/2019;notSubscribed
336c3458-a6be-57e6-a110-962961bb2465;31,93;us;11;7/29/2019;notSubscribed
336c3458-a6be-57e6-a110-962961bb2465;34,92;us;19;7/29/2019;notSubscribed
3b1e1eac-5cfe-5094-a0cc-5b9ce7b5ba15;10,12984931;au;0;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;49,98;us;0;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;129,95;us;2;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;199,93;us;5;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;274,9;us;6;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;304,88;us;7;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;324,87;us;8;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;394,85;us;9;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;469,82;us;10;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;499,81;us;11;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;579,78;us;12;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;609,76;us;13;08/07/2019;notSubscribed
3c7aca7d-8a91-518b-8034-96ddf63b9c45;679,74;us;14;08/07/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;19,99;us;0;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;39,98;us;1;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;59,97;us;2;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;84,95;us;3;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;119,92;us;4;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;159,91;us;5;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;274,89;us;6;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;289,88;us;8;7/26/2019;notSubscribed
3d19cae0-71e4-5627-8e11-571caa5474a7;299,87;us;10;7/26/2019;notSubscribed
